station,year,season,vimscode,workup,modalgrp,pannum,seqno,specimid,preyname,totpreywt,lengthcm,pisclen,expansion,depthm,lat,lon,bWT,bSA,bDO
NM20070901009,2007,FALL,0009,Full,2,2,2,2,Loligo pealeii,1.3834,20,20,1.8,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0163,Full,0,2,3,3,Anchoa spp.,5.639,78.98722519,78.98722519,9,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901010,2007,FALL,0003,Full,1,5,1,1,Stenotomus chrysops,4.4615,43.9,43.9,3.167,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,1,5,3,3,Anchoa mitchilli,1.8016,38.9,38.9,3.167,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,1,5,4,4,Stenotomus chrysops,1.0632,42.6,42.6,3.167,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,1,5,5,5,Anchoa spp.,0.565,44.1,44.1,3.167,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,1,5,5,5,Loligo pealeii,0.1272,44.1,44.1,3.167,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,2,13,2,10,Stenotomus chrysops,1.3125,51.9,51.9,2.714,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,2,13,4,12,Stenotomus chrysops,1.0349,46.4,46.4,2.714,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0003,Full,3,5,1,7,Etrumeus teres,13.5425,67.4,67.4,1,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0009,Full,0,13,1,1,Anchoa mitchilli,17.972,50.2,50.2,1,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0009,Full,0,13,1,1,Loligo pealeii,10.8,50.2,50.2,1,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901010,2007,FALL,0009,Full,0,13,1,1,Stenotomus chrysops,10.437,50.2,50.2,1,18.288,40.784,-72.591,15.75,31.62,6.26
NM20070901011,2007,FALL,0003,Full,1,2,2,1,Anchoa mitchilli,106562.048,37.7,37.7,1,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,1,2,3,2,Anchoa mitchilli,0.0987,39.8,39.8,1,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,1,2,7,6,Anchoa mitchilli,0.0968,33.9,33.9,1,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,2,2,1,7,Anchoa mitchilli,0.1886,45.2,45.2,1.5,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,2,2,4,10,Anchoa mitchilli,0.1005,44.5,44.5,1.5,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,2,2,5,11,Anchoa mitchilli,0.5869,41.3,41.3,1.5,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0003,Full,2,2,6,12,Anchoa mitchilli,0.3972,45.6,45.6,1.5,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0007,Full,0,2,1,1,Anchoa mitchilli,0.1805,16.3,16.3,53,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0007,Full,0,2,2,2,Anchoa mitchilli,0.8124,17.8,17.8,53,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0007,Full,0,2,3,3,Anchoa mitchilli,0.7403,14.1,14.1,53,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0007,Full,0,2,4,4,Anchoa spp.,0.7676,15.8,15.8,53,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0007,Full,0,2,5,5,Anchoa mitchilli,0.3077,15.8,15.8,53,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0009,Full,1,2,2,9,Anchoa mitchilli,0.1206,11.6,11.6,3.571,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0009,Full,1,2,5,11,Anchoa mitchilli,0.121,11.1,11.1,3.571,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0009,Full,1,2,8,14,Anchoa spp.,0.284,10.5,10.5,3.571,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901011,2007,FALL,0009,Full,2,2,7,7,Anchoa mitchilli,0.142,17.4,17.4,1,15.8496,40.63,-73.106,18.97,30.89,7.4
NM20070901012,2007,FALL,0003,Full,0,13,3,3,Anchoa spp.,1.4991,48,48,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901012,2007,FALL,0003,Full,0,13,4,4,Loligo pealeii,0.1346,43.4,43.4,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901012,2007,FALL,0003,Full,0,13,4,4,Stenotomus chrysops,0.9658,43.4,43.4,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901012,2007,FALL,0003,Full,0,13,5,5,Stenotomus chrysops,3.2573,38.7,38.7,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901012,2007,FALL,0003,Full,0,13,9,9,Stenotomus chrysops,5.385,34.7,34.7,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901012,2007,FALL,0003,Full,0,13,13,13,Stenotomus chrysops,0.6006,35.5,35.5,1,18.288,40.79966667,-72.52933333,16.37,31.17,6.34
NM20070901013,2007,FALL,0003,Full,1,2,1,8,Anchoa mitchilli,0.152,26.3,26.3,2.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,1,2,2,9,Anchoa mitchilli,2.1403,28.8,28.8,2.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,1,2,3,10,Anchoa mitchilli,0.0748,27.3,27.3,2.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,1,2,4,11,Anchoa mitchilli,0.9033,29,29,2.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,1,2,5,12,Anchoa mitchilli,0.4324,26.3,26.3,2.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,1,3,Anchoa mitchilli,1.7959,44.2,44.2,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,1,3,Pomatomus saltatrix,8.9959,44.2,44.2,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,2,4,Anchoa hepsetus,3.2824,40.6,40.6,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,2,4,Cynoscion regalis,4.9883,40.6,40.6,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,3,5,Cynoscion regalis,46.6201,51,51,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,4,6,Anchoa mitchilli,0.4212,41.9,41.9,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0003,Full,2,2,5,7,Cynoscion regalis,13.8303,40.6,40.6,2.8,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,1,2,4,10,Anchoa mitchilli,0.1292,17.2,17.2,50.2048,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,1,2,Anchoa spp.,1.0911,38.3,38.3,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,1,2,Selene setapinnis,1.3918,38.3,38.3,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,2,3,Anchoa mitchilli,0.5246,34.7,34.7,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,3,4,Anchoa mitchilli,2.0117,40.1,40.1,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,4,5,Anchoa spp.,1.8194,32.7,32.7,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,2,2,5,6,Anchoa spp.,0.6048,32.8,32.8,1.4,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0007,Full,3,2,1,1,Cynoscion regalis,38.4475,48.4,48.4,1,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901013,2007,FALL,0009,Full,2,2,1,2,Anchoa mitchilli,0.727,18.1,18.1,1,9.144,40.606,-73.38516667,20.04,30.84,6.26
NM20070901014,2007,FALL,0003,Full,1,2,1,4,Anchoa mitchilli,0.2101,39.8,39.8,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,2,5,Anchoa spp.,1.2515,45.2,45.2,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,2,5,Stenotomus chrysops,2.2641,45.2,45.2,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,4,7,Anchoa spp.,0.082,41.9,41.9,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,4,7,Stenotomus chrysops,0.01491,41.9,41.9,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,5,8,Anchoa mitchilli,0.6638,41.7,41.7,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,1,2,6,9,Anchoa mitchilli,2.0112,44.7,44.7,2.333,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0003,Full,2,2,3,3,Cynoscion regalis,39.2222,51.9,51.9,1,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0007,Full,2,2,1,1,Anchoa mitchilli,0.1496,33.9,33.9,1,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0007,Full,2,2,2,2,Anchoa mitchilli,0.3465,32.5,32.5,1,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0009,Full,1,2,1,5,Anchoa mitchilli,0.0393,10.7,10.7,12.4,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0009,Full,2,2,1,1,Loligo pealeii,0.015,37.8,37.8,1,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901014,2007,FALL,0009,Full,2,2,2,2,Anchoa mitchilli,0.16,38.1,38.1,1,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7
NM20070901015,2007,FALL,0003,Full,0,2,1,1,Anchoa spp.,0.1614,57.8,57.8,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0003,Full,0,2,1,1,Cynoscion regalis,73.351,57.8,57.8,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0003,Full,0,2,2,2,Loligo pealeii,0.5624,48.3,48.3,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,1,2,3,3,Anchoa mitchilli,0.2148,18,18,615.3994,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,1,2,4,4,Anchoa mitchilli,0.5581,21,21,615.3994,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,2,2,1,6,Anchoa mitchilli,0.1069,53,53,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,2,2,2,7,Anchoa mitchilli,0.9103,56.6,56.6,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,2,2,2,7,Loligo pealeii,0.0703,56.6,56.6,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0007,Full,2,2,3,8,Anchoa mitchilli,0.6755,44,44,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0009,Full,2,2,5,6,Anchoa hepsetus,1.941,20.4,20.4,2.8,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0009,Full,3,2,1,1,Anchoa mitchilli,0.1784,29,29,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901015,2007,FALL,0163,Full,0,2,2,2,Loligo pealeii,1.354,90.61071505,90.61071505,1,13.4112,40.5815,-73.38233333,18.94,30.95,5.17
NM20070901016,2007,FALL,0003,Full,0,2,4,4,Anchoa mitchilli,0.183,36.2,36.2,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0003,Full,0,2,5,5,Anchoa mitchilli,2.762,38.2,38.2,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0003,Full,0,2,7,7,Anchoa mitchilli,0.1882,42.9,42.9,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0007,Full,0,2,1,1,Anchoa mitchilli,1.1529,21.5,21.5,25.399,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0007,Full,0,2,3,3,Anchoa mitchilli,0.5533,19.3,19.3,25.399,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0007,Full,0,2,4,4,Anchoa mitchilli,0.2098,22,22,25.399,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0007,Full,0,2,5,5,Anchoa mitchilli,0.0933,19.5,19.5,25.399,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0009,Full,1,2,4,9,Anchoa spp.,0.1296,13,13,3,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0009,Full,1,2,5,10,Anchoa spp.,0.1017,11.4,11.4,3,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0009,Full,2,2,1,1,Anchoa spp.,0.087,21.5,21.5,1.4,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0009,Full,2,2,2,2,Anchoa mitchilli,0.115,21.4,21.4,1.4,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0009,Full,2,2,3,3,Anchoa mitchilli,0.2679,23.8,23.8,1.4,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0031,Full,0,9,1,3,Anchoa mitchilli,0.6446,77.1,77.1,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0031,Full,0,9,2,1,Anchoa mitchilli,1.6577,59.2,59.2,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0031,Full,0,9,3,2,Anchoa mitchilli,2.1919,74.4,74.4,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0031,Full,0,9,3,2,Peprilus triacanthus,175.7966,74.4,74.4,1,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0163,Full,0,2,1,1,Anchoa spp.,1.154,85.90368196,85.90368196,1.667,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901016,2007,FALL,0163,Full,0,2,2,2,Anchoa spp.,1.466,89.65009605,89.65009605,1.667,17.6784,40.552,-73.3935,18.65,31.04,3.48
NM20070901017,2007,FALL,0003,Full,0,7,1,1,Stenotomus chrysops,1.3106,39.8,39.8,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901017,2007,FALL,0003,Full,0,7,4,4,Stenotomus chrysops,3.6889,44.9,44.9,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901017,2007,FALL,0003,Full,0,7,7,6,Stenotomus chrysops,0.3477,32.4,32.4,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901017,2007,FALL,0007,Full,0,7,2,1,Anchoa mitchilli,0.2753,18.1,18.1,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901017,2007,FALL,0007,Full,0,7,4,2,Anchoa mitchilli,0.8548,15.5,15.5,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901017,2007,FALL,0007,Full,0,7,6,3,Anchoa mitchilli,0.4365,22,22,1,15.24,40.50433333,-73.629,18.01,30.78,5.05
NM20070901018,2007,FALL,0009,Full,0,22,3,1,Anchoa spp.,0.119,10.5,10.5,1,8.5344,40.52066667,-73.91566667,19.92,30.34,5.5
NM20070901019,2007,FALL,0003,Full,0,22,1,1,Stenotomus chrysops,3.497,34.9,34.9,1,7.9248,40.4445,-73.95133333,19.69,29.65,5.81
NM20070901020,2007,FALL,0003,Full,0,22,3,3,Anchoa mitchilli,1.5896,27.3,27.3,1,15.24,40.54533333,-73.733,20.42,30.87,7.09
NM20070901020,2007,FALL,0003,Full,0,22,6,6,Anchoa spp.,0.5645,41.1,41.1,1,15.24,40.54533333,-73.733,20.42,30.87,7.09
NM20070901020,2007,FALL,0009,Full,2,22,1,1,Loligo pealeii,0.679,36.1,36.1,1,15.24,40.54533333,-73.733,20.42,30.87,7.09
NM20070901020,2007,FALL,0163,Full,0,22,3,3,Anchoa spp.,0.144,72.07076841,72.07076841,2,15.24,40.54533333,-73.733,20.42,30.87,7.09
NM20070901021,2007,FALL,0003,Full,1,22,7,9,Loligo pealeii,9.3504,33.4,33.4,1,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0003,Full,2,22,1,1,Cynoscion regalis,36.4276,49.6,49.6,1,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0003,Full,2,22,1,1,Loligo pealeii,7.9504,49.6,49.6,1,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0007,Full,0,22,1,1,Anchoa mitchilli,0.966,18.8,18.8,46.599,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0007,Full,0,22,2,2,Anchoa mitchilli,0.2242,17.4,17.4,46.599,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0007,Full,0,22,5,4,Anchoa mitchilli,0.2966,18.6,18.6,46.599,15.24,40.49833333,-73.8575,19.59,30.71,7.05
NM20070901021,2007,FALL,0007,Full,0,22,6,5,Anchoa mitchilli,3.4536,17.5,17.5,46.599,15.24,40.49833333,-73.8575,19.59,30.71,7.05
