"","prey","svspp","seacat","decade","meansw","num_tows","variance","cv","totwt","relmsw","ci","relci","nstom","collcat","collsci","collcom"
"19","CARFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CARFAM","CARANGIDAE","JACKS"
"20","CENSTR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CENSTR","CENTROPRISTIS STRIATA","BLACK SEA BASS"
"21","CEPHAL",135,"FALL","1970s",0.23641776244289,69,0.0222916044450142,0.631525020135589,9.81141149146602,2.40962029416997,0.0359481143364802,0.366390853831255,341,"CEPHAL","CEPHALOPODA","SQUIDS, CUTTLEFISH AND OCTOPODS"
"22","CITARC",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CITARC","CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER"
"23","CLUFAM",135,"FALL","1970s",0.0201933451199057,69,0.000324410070187583,0.891946684894128,9.81141149146602,0.205814883388286,0.00433663243547797,0.0441998833628574,341,"CLUFAM","CLUPEIDAE","HERRINGS"
"24","CLUHAR",135,"FALL","1970s",0.00931085884646256,69,9.10687455871622e-05,1.02493172102678,9.81141149146602,0.0948982606076726,0.00229768308743183,0.0234184764284972,341,"CLUHAR","CLUPEA HARENGUS","ATLANTIC HERRING"
"25","CNIDAR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CNIDAR","CNIDARIA","CNIDARIA"
"26","COPEPO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"COPEPO","COPEPODA","COPEPODA"
"27","CRAFAM",135,"FALL","1970s",0.000596369395711501,69,1.47775839733806e-07,0.644594164566284,9.81141149146602,0.00607832416600021,9.2556552155357e-05,0.000943356134189895,341,"CRAFAM","CRANGONIDAE","CRAGONID SHRIMP"
"28","CRUSHR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CRUSHR","CRUSTACEAN SHRIMP","CRUSTACEAN SHRIMP"
"29","CRUSTA",135,"FALL","1970s",0.000524724509686916,69,1.48338385796255e-07,0.733998925189544,9.81141149146602,0.00534810419625476,9.27325547627496e-05,0.000945149990329205,341,"CRUSTA","CRUSTACEA","CRUSTACEA"
"30","CTENOP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CTENOP","CTENOPHORA","COMB JELLIES"
"31","CYNREG",135,"FALL","1970s",0.00831384015594542,69,7.43867963509944e-05,1.03740003231953,9.81141149146602,0.0847364333172328,0.00207660252560113,0.0211651761564314,341,"CYNREG","CYNOSCION REGALIS","WEAKFISH"
"32","DECAPO",135,"FALL","1970s",5.84795321637427e-05,69,3.68044467376819e-09,1.03740003231953,9.81141149146602,0.000596035873274791,1.46068172961393e-05,0.000148875799459072,341,"DECAPO","DECAPODA","DECAPODA"
"33","DECCRA",135,"FALL","1970s",0.038759746588694,69,0.00109742105204399,0.854684276887861,9.81141149146602,0.395047609840921,0.00797612761386722,0.0812943950093711,341,"DECCRA","DECAPODA CRAB","DECAPODA CRAB"
"34","DECLAR",135,"FALL","1970s",2.60664581350016e-05,69,7.01667157747078e-10,1.0162102022622,9.81141149146602,0.000265674904754267,6.37780189178412e-06,6.50039181144481e-05,341,"DECLAR","DECAPODA LARVAE","DECAPODA LARVAE"
"35","DECMAC",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"DECMAC","DECAPTERUS MACARELLUS","MACKEREL SCAD"
"36","DECPUN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"DECPUN","DECAPTERUS PUNCTATUS","ROUND SCAD"
"37","DECSHR",135,"FALL","1970s",0.000111463647297914,69,1.23387099345109e-08,0.996555814623165,9.81141149146602,0.00113606128328085,2.67448599255149e-05,0.000272589320596508,341,"DECSHR","DECAPODA SHRIMP","DECAPODA SHRIMP"
"38","ECHIN1",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ECHIN1","ECHINOIDEA","URCHINS, SAND DOLLARS"
"39","EMPTY",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"EMPTY","EMPTY","EMPTY"
"40","ENGEUR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ENGEUR","ENGRAULIS EURYSTOLE","SILVER ANCHOVY"
"41","ENGFAM",135,"FALL","1970s",0.456888875888602,69,0.0680341666534461,0.57089067673456,9.81141149146602,4.65670893821958,0.0628013507901648,0.640084771133996,341,"ENGFAM","ENGRAULIDAE","ANCHOVIES"
"42","ETRTER",135,"FALL","1970s",0.784254077110526,69,0.123312664623826,0.44776181678636,9.81141149146602,7.99328493961008,0.0845491588843314,0.861743072929643,341,"ETRTER","ETRUMEUS TERES","ROUND HERRING"
"43","EUPFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"EUPFAM","EUPHAUSIACEA","KRILL"
"44","FISEGG",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISEGG","FISH EGGS","FISH EGGS"
"45","FISEGG",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISEGG","MYOXOCEPHALUS SP EGGS","SCULPIN EGGS"
"46","FISEGG",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISEGG","MACROZOARCES AMERICANUS EGGS","OCEAN POUT EGGS"
"47","FISLAR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISLAR","FISH LARVAE","FISH LARVAE"
"48","FISLAR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISLAR","ANGUILLIFORMES LARVAE","LEPTOCEPHALUS"
"49","FISOTO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"FISOTO","FISH OTOLITHS","FISH OTOLITHS"
"50","FISSCA",135,"FALL","1970s",5.67738791423002e-05,69,1.46901404643215e-09,0.675094244291736,9.81141149146602,0.00057865149363761,9.22823030573992e-06,9.40560928849702e-05,341,"FISSCA","FISH SCALES","FISH SCALES"
"51","GADFAM",135,"FALL","1970s",0.0381598440545809,69,0.00103704254400291,0.843901376891649,9.81141149146602,0.388933275174244,0.00775360615120441,0.0790264087684886,341,"GADFAM","GADIDAE","CODFISHES"
"52","GAMMAR",135,"FALL","1970s",0.0103155831045869,69,0.000112769921225358,1.02944430727431,9.81141149146602,0.105138624687787,0.00255683138624781,0.0260597712008282,341,"GAMMAR","GAMMARIDEA","GAMMARIDEA"
"53","GASTRO",135,"FALL","1970s",0.0112183235867446,69,0.000135440466229244,1.03740003231953,9.81141149146602,0.114339548356547,0.00280207445130939,0.0285593408628986,341,"GASTRO","GASTROPODA","SNAILS"
"54","HIPPSP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"HIPPSP","HIPPOCAMPUS SP","SEAHORSES"
"55","HYDROZ",135,"FALL","1970s",9.74658869395712e-06,69,1.02234574271339e-10,1.03740003231953,9.81141149146602,9.93393122124652e-05,2.43446954935655e-06,2.48126332431786e-05,341,"HYDROZ","HYDROZOA","HYDROZOA"
"56","HYPFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"HYPFAM","HYPERIIDAE","HYPERIIDAE"
"57","ILLESP",135,"FALL","1970s",2.27245161828495,69,2.14559095217982,0.644582957742933,9.81141149146602,23.161311909724,0.352678443038893,3.59457396467015,341,"ILLESP","ILLEX SP"," SHORTFIN SQUID-GENUS"
"58","ISOPOD",135,"FALL","1970s",9.09681611435997e-05,69,8.85666267715265e-09,1.03453606729209,9.81141149146602,0.000927166913983008,2.26589876299592e-05,0.000230945238100227,341,"ISOPOD","ISOPODA","ISOPODA"
"59","LARVAC",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"LARVAC","LARVACEANS","LARVACEANS"
"60","LEIXAN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"LEIXAN","LEIOSTOMUS XANTHURUS","SPOT"
"61","LEPPRO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"LEPPRO","LEPOPHIDIUM PROFUNDORUM","FAWN CUSK-EEL"
"62","LIMFER",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"LIMFER","PLEURONECTES FERRUGINUS","YELLOWTAIL FLOUNDER"
"63","LOLISP",135,"FALL","1970s",0.651921412393116,69,0.0857197412951516,0.449102197517403,9.81141149146602,6.64452217665275,0.0704929809621946,0.718479507495017,341,"LOLISP","LOLIGO SP","LONGFIN SQUID"
"64","LOLPEA",135,"FALL","1970s",0.610302144249513,69,0.341070310215004,0.956923152360952,9.81141149146602,6.22032971280793,0.140613626283237,1.4331640906667,341,"LOLPEA","LOLIGO PEALEII","LONGFIN SQUID"
"65","MACAME",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MACAME","MACROZOARCES AMERICANUS","OCEAN POUT"
"66","MELAEG",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MELAEG","MELANOGRAMMUS AEGLEFINUS","HADDOCK"
"67","MENMEN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MENMEN","MENIDIA MENIDIA","ATLANTIC SILVERSIDE"
"68","MERBIL",135,"FALL","1970s",0.219633528265107,69,0.0453309462558394,0.969390488350192,9.81141149146602,2.23855179712058,0.0512628612385956,0.522482022929973,341,"MERBIL","MERLUCCIUS BILINEARIS","SILVER HAKE"
"69","MICUND",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MICUND","MICROPOGONIAS UNDULATUS","ATLANTIC CROAKER"
"70","MISC",135,"FALL","1970s",0.00604857050032489,69,1.9460672978819e-05,0.729333530500537,9.81141149146602,0.0616483215038523,0.00106214639070792,0.0108256227111846,341,"MISC","MISCELLANEOUS","MISCELLANEOUS"
"71","MOLLUS",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MOLLUS","MOLLUSCA","MOLLUSCA"
"72","MYCFAM",135,"FALL","1970s",0.0784054580896686,69,0.00577683683695178,0.969390488350191,9.81141149146602,0.799125163161955,0.0182999751911636,0.186517252966925,341,"MYCFAM","MYCTOPHIDAE","LANTERNFISHES"
"73","MYOAEN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MYOAEN","MYOXOCEPHALUS AENAEUS","GRUBBY"
"74","MYOOCT",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MYOOCT","MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN"
"75","MYOOCT",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"MYOOCT","MYOXOCEPHALUS OCTODECEMSPINOSUS EGGS","LONGHORN SCULPIN"
"76","MYSIDA",135,"FALL","1970s",5.48245614035088e-06,69,3.18720349544915e-11,1.02974509158701,9.81141149146602,5.58783631195116e-05,1.35928444420599e-06,1.38541171715027e-05,341,"MYSIDA","MYSIDACEA","MYSIDACEA"
"77","NEMATO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"NEMATO","NEMATODA","NEMATODA"
"78","OCTOPO",135,"FALL","1970s",0.00037037037037037,69,1.45727426313261e-07,1.03070506830212,9.81141149146602,0.00377489386407368,9.19128214276861e-05,0.000936795093220094,341,"OCTOPO","OCTOPODA","OCTOPODA"
"79","OPHFA1",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OPHFA1","OPHICHTHIDAE","SNAKE EELS"
"80","OPHFA2",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OPHFA2","OPHIDIIDAE","CUSK-EELS"
"81","OPHIU1",135,"FALL","1970s",0.000194931773879142,69,4.08938297085355e-08,1.03740003231953,9.81141149146602,0.0019867862442493,4.8689390987131e-05,0.000496252664863573,341,"OPHIU1","OPHIUROIDEA","BRITTLE STARS"
"82","OPIOGL",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OPIOGL","OPISTHONEMA OGLINUM","ATLANTIC THREAD HERRING"
"83","ORTCHR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ORTCHR","ORTHOPRISTIS CHRYSOPTERA","PIGFISH"
"84","OSTEIC",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OSTEIC","OSTEICHTHYES","BONY FISHES"
"85","OSTRAC",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OSTRAC","OSTRACODA","OSTRACODA"
"86","OTHER",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"OTHER","OTHER","OTHER"
"87","OTHFIS",135,"FALL","1970s",2.58701837039703,69,0.749229671784533,0.334586159196618,9.81141149146602,26.3674433861756,0.208407303522267,2.12413171849473,341,"OTHFIS","OTHER FISH","OTHER FISH"
"88","PANFAM",135,"FALL","1970s",0.000389863547758285,69,1.63575318834142e-07,1.03740003231953,9.81141149146602,0.00397357248849861,9.73787819742619e-05,0.000992505329727146,341,"PANFAM","PANDALIDAE","PANDALIDAE"
"89","PARDEN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PARDEN","PARALICHTHYS DENTATUS","SUMMER FLOUNDER"
"90","PECFA1",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PECFA1","PECTINIDAE","SCALLOPS"
"91","PENFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PENFAM","PENAEIDAE","PENAEIDAE"
"92","PEPALE",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PEPALE","PEPRILUS ALEPIDOTUS","HARVESTFISH"
"93","PEPTRI",135,"FALL","1970s",0.795057272794563,69,0.182467283960109,0.537271853158199,9.81141149146602,8.10339341578023,0.102848498107191,1.04825384397188,341,"PEPTRI","PEPRILUS TRIACANTHUS","BUTTERFISH"
"94","PHOGUN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PHOGUN","PHOLIS GUNNELLUS","ROCK GUNNEL"
"95","PLATYH",135,"FALL","1970s",0.0001364522417154,69,2.00379765571824e-08,1.03740003231953,9.81141149146602,0.00139075037097451,3.40825736909917e-05,0.000347376865404501,341,"PLATYH","PLATYHELMINTHES","FLATWORMS"
"96","PLEAME",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PLEAME","PLEURONECTES AMERICANUS","WINTER FLOUNDER"
"97","PLEORD",135,"FALL","1970s",0.307763157894737,69,0.0897684422465616,0.973520755065423,9.81141149146602,3.13678779207691,0.0721385310806045,0.735251305516547,341,"PLEORD","PLEURONECTIFORMES","FLATFISHES"
"98","POLYCH",135,"FALL","1970s",0.0325696427761911,69,0.000978760846538617,0.960561771800726,9.81141149146602,0.331956750611472,0.00753257985152696,0.0767736615478701,341,"POLYCH","POLYCHAETA","POLYCHAETA"
"99","POMSAL",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"POMSAL","POMATOMUS SALTATRIX","BLUEFISH"
"100","PRICAR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PRICAR","PRIONOTUS CAROLINUS","NORTHERN SEAROBIN"
"101","PRIEVO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"PRIEVO","PRIONOTUS EVOLANS","STRIPED SEAROBIN"
"102","PRIOS1",135,"FALL","1970s",0.142105263157895,69,0.0216128280756521,1.03453606729209,9.81141149146602,1.44836717205774,0.0353965756762292,0.360769454089426,341,"PRIOS1","PRIONOTUS SP",""
"103","RAJASP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"RAJASP","RAJA SP","SKATES"
"104","RAJERI",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"RAJERI","RAJA ERINACEA","LITTLE SKATE"
"105","SARAUR",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SARAUR","SARDINELLA AURITA","SPANISH SARDINE"
"106","SCIFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCIFAM","SCIAENIDAE","DRUMS"
"107","SCOAQU",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCOAQU","SCOPHTHALMUS AQUOSUS","WINDOWPANE"
"108","SCOFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCOFAM","SCOMBRIDAE","MACKERELS"
"109","SCOMSP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCOMSP","SCOMBER SP",""
"110","SCOSAU",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCOSAU","SCOMBERESOX SAURUS","ATLANTIC SAURY"
"111","SCOSCO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SCOSCO","SCOMBER SCOMBRUS","ATLANTIC MACKEREL"
"112","SCYPHO",135,"FALL","1970s",0.0243469785575049,69,0.000629736650349344,1.03070506830212,9.81141149146602,0.248149601906738,0.00604205862964106,0.0615819511279946,341,"SCYPHO","SCYPHOZOA","JELLYFISH"
"113","SEBFAS",135,"FALL","1970s",0.0452826510721248,69,0.00220270969864996,1.03644625662908,9.81141149146602,0.461530444539113,0.0113001467186831,0.115173507181021,341,"SEBFAS","SEBASTES FASCIATUS","ACADIAN REDFISH"
"114","SQUACA",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SQUACA","SQUALUS ACANTHIAS","SPINY DOGFISH"
"115","STECHR",135,"FALL","1970s",0.0125,69,0.000166610766589988,1.03262234441054,9.81141149146602,0.127402667912487,0.00310782804618225,0.0316756467597495,341,"STECHR","STENOTOMUS CHRYSOPS","SCUP"
"116","STENS2",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"STENS2","STENOTOMUS SP",""
"117","STIFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"STIFAM","STICHAEIDAE","SHANNIES AND PRICKLEBACKS"
"118","STOMAT",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"STOMAT","STOMATOPODA","MANTIS SHRIMPS"
"119","STRFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"STRFAM","STROMATEIDAE","BUTTERFISHES"
"120","SYNFA1",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SYNFA1","SYNGNATHIDAE","PIPEFISHES AND SEAHORSES"
"121","SYNFA2",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"SYNFA2","SYNODONTIDAE","LIZARDFISHES"
"122","TAUADS",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"TAUADS","TAUTOGOLABRUS ADSPERSUS","CUNNER"
"123","THUTHY",135,"FALL","1970s",0.00560005705320211,69,2.96562469588263e-05,0.972446333445812,9.81141149146602,0.0570769767232069,0.00131118371033612,0.0133638642256172,341,"THUTHY","THUNNUS THYNNUS","BLUEFIN TUNA"
"124","TRALAT",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"TRALAT","TRACHURUS LATHAMI","ROUGH SCAD"
"125","TRIFA1",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"TRIFA1","TRIGLIDAE","SEAROBINS"
"126","UROCHO",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"UROCHO","UROCHORDATA","UROCHORDATA"
"127","UROCHU",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"UROCHU","UROPHYCIS CHUSS","RED HAKE"
"128","UROPSP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"UROPSP","UROPHYCIS SP","HAKE UNCL"
"129","UROREG",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"UROREG","UROPHYCIS REGIA","SPOTTED HAKE"
"130","UROTEN",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"UROTEN","UROPHYCIS TENUIS","WHITE HAKE"
"131","ALOAES",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"ALOAES","ALOSA AESTIVALIS","BLUEBACK HERRING"
"132","ALOPSE",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"ALOPSE","ALOSA PSEUDOHARENGUS","ALEWIFE"
"133","AMMOSP",135,"FALL","1980s",0.587046234953507,299,0.0821593684152127,0.488265724994524,6.29621454039491,9.32379656358861,0.0331530086943522,0.526554622331418,1443,"AMMOSP","AMMODYTES SP","SAND LANCES"
"134","AMPHIP",135,"FALL","1980s",0.00171212770830291,299,1.37868687562184e-06,0.685798711675434,6.29621454039491,0.0271929696378409,0.000135808584339228,0.0021569878768888,1443,"AMPHIP","AMPHIPODA","AMPHIPODA"
"135","ANCHEP",135,"FALL","1980s",0.218743081776867,299,0.0253718007541124,0.728184314403059,6.29621454039491,3.47419993987605,0.0184234112928919,0.292610920016971,1443,"ANCHEP","ANCHOA HEPSETUS","STRIPED ANCHOVY"
"136","ANCHSP",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"ANCHSP","ANCHOA SP",""
"137","ANCMIT",135,"FALL","1980s",0.70251811969576,299,0.0729355037018192,0.384425300958475,6.29621454039491,11.157785605757,0.0312366099638073,0.49611730609561,1443,"ANCMIT","ANCHOA MITCHILLI","BAY ANCHOVY"
"138","ANTHOZ",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"139","AR",135,"FALL","1980s",0.0474688887552628,299,0.000768985600315165,0.584184512018437,6.29621454039491,0.75392743450393,0.00320740280914886,0.0509417649060555,1443,"AR","ANIMAL REMAINS","ANIMAL REMAINS"
"140","ARCISL",135,"FALL","1980s",0.000510394697197951,299,2.68908047528311e-07,1.0160047681682,6.29621454039491,0.0081063739795299,5.9978596798836e-05,0.000952613612735535,1443,"ARCISL","ARCTICA ISLANDICA","OCEAN QUAHOG"
"141","ATHFAM",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"ATHFAM","ATHERINIDAE","SILVERSIDES"
"142","BATFAM",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"BATFAM","BATRACHOIDIDAE","TOADFISHES"
"143","BIVALV",135,"FALL","1980s",0.000419805162197449,299,1.56506147100786e-07,0.942362347506133,6.29621454039491,0.00666758032948347,4.57572695908732e-05,0.000726742541844885,1443,"BIVALV","BIVALVIA","CLAMS, MUSSELS"
"144","BOTFAM",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"BOTFAM","BOTHIDAE","LEFTEYE FLOUNDERS"
"145","BRETYR",135,"FALL","1980s",0.0525930250075324,299,0.000722684021613554,0.511147305031712,6.29621454039491,0.835311831738085,0.00310934296388658,0.0493843236112401,1443,"BRETYR","BREVOORTIA TYRANNUS","ATLANTIC MENHADEN"
"146","CALSAP",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"CALSAP","CALLINECTES SAPIDUS","BLUE CRAB"
"147","CANFAM",135,"FALL","1980s",0.00434995480566436,299,1.02723865423944e-05,0.736802230266817,6.29621454039491,0.0690884145982662,0.000370706395057302,0.00588776625508778,1443,"CANFAM","CANCRIDAE","CANCER CRABS"
"148","CARCRY",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"CARCRY","CARANX CRYSOS","BLUE RUNNER"
"149","CARFAM",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"CARFAM","CARANGIDAE","JACKS"
"150","CENSTR",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"CENSTR","CENTROPRISTIS STRIATA","BLACK SEA BASS"
"151","CEPHAL",135,"FALL","1980s",0.192681921732653,299,0.0041361509479881,0.333777625524015,6.29621454039491,3.06028202337221,0.00743862373359535,0.118144381610109,1443,"CEPHAL","CEPHALOPODA","SQUIDS, CUTTLEFISH AND OCTOPODS"
"152","CITARC",135,"FALL","1980s",0,299,0,0,6.29621454039491,0,0,0,1443,"CITARC","CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER"
